Host Id,Host Since,Name,Neighbourhood ,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
8235445,8/18/2013,Downtown Brooklyn Living,Brooklyn,Apartment,85,Entire home/apt,11201,4,1,28,163,87
7452455,7/13/2013,MANHATTAN STUDIO 10 MIN TO DOWNTOWN,Manhattan,Apartment,85,Entire home/apt,10035,3,1,32,206,85
1689781,2/2/2012,1 bedroom by Riverbank Park,Manhattan,Apartment,90,Private room,10031,1,1,4,90,90
2202858,4/23/2012,Bright One Bed Apt,Brooklyn,Apartment,,Entire home/apt,11225,1,1,0,110,
41938451,8/19/2015,"Clean, Modern, Brooklyn Apt",Brooklyn,Apartment,100,Private room,11213,1,1,3,70,100
6046778,4/22/2013,In the Heart of Manhattan,Manhattan,Apartment,90,Entire home/apt,10036,3,1,12,270,93
20583090,8/26/2014,The Sun Room ~ Bushwick Loft,Brooklyn,Loft,,Private room,11206,1,1,0,65,
697975,6/13/2011,"Brand new, sunny, amazing kitchen",Brooklyn,Apartment,80,Private room,11230,3,1,1,39,80
57877,11/26/2009,Luxury studio close to time square,Manhattan,Apartment,100,Entire home/apt,10019,1,1,1,180,100
27944388,2/18/2015,Charming Bedroom in Harlem,Manhattan,Apartment,95,Private room,10035,1,1,30,99,95
24260658,11/28/2014,Clean and comfortable 3 person dorm,Manhattan,Apartment,90,Private room,10029,3,1,6,90,90
3981805,10/26/2012,_Boutique East Village Flat,Manhattan,Apartment,90,Entire home/apt,10003,2,1,23,199,91
25168888,12/24/2014,NYC ROOM GORGEOUS LIGHT! RIVER VIEW,Manhattan,Apartment,100,Private room,10031,1,1,4,59,100
3275414,8/16/2012,"Central Park Views, Large One Bed",Manhattan,Apartment,,Entire home/apt,10019,1,1,0,399,
8428985,8/26/2013,East Village Apartment,Manhattan,Apartment,85,Entire home/apt,10003,1,1,15,248,86
4364490,12/9/2012,Quiet UES studio apt w/garden patio,Manhattan,Apartment,100,Entire home/apt,10021,2,1,2,120,100
4407957,12/14/2012,Amazing 1BD in a Perfect Location,Manhattan,Apartment,95,Entire home/apt,10023,2,1,64,185,96
18401981,7/19/2014,Light-Filled Haven in Park Slope,Brooklyn,Apartment,100,Entire home/apt,11215,1,1,3,140,100
7125313,6/26/2013,"Magic 19th century gem, Park Slope",Brooklyn,Apartment,100,Entire home/apt,11215,4,1,2,195,100
1492619,12/11/2011,Downtown Designer Full Floor Loft,Manhattan,Apartment,90,Entire home/apt,10038,4,1,60,300,94
3233986,8/12/2012,* Next to Steinway Station Subway *,Queens,Apartment,95,Private room,11101,1,1,8,70,98
313285,12/8/2010,Stylish Clean UWS Living,Manhattan,Apartment,85,Entire home/apt,10023,3,1,49,185,89
42897684,8/30/2015,"Cozy, Comfortable and Convenient",Bronx,Apartment,,Private room,10459,3,1,0,55,
10227432,11/24/2013,Spare Bedroom with Futon in BK,Brooklyn,Apartment,85,Private room,11221,1,1,12,55,89
39956905,7/29/2015,East Village Private Room & Terrace,Manhattan,Apartment,100,Private room,10003,1,1,1,95,100
35987043,6/16/2015,Cozy Couple Room Close to Subway,Brooklyn,House,40,Private room,11219,1,1,1,65,40
10971751,1/2/2014,1 BR apt in Atlantic Avenue,Brooklyn,Apartment,100,Entire home/apt,11217,1,1,1,119,100
1499189,12/12/2011,Luxury Apt with Large Private Patio,Manhattan,Apartment,100,Entire home/apt,10001,1,1,4,239,100
24052348,11/22/2014,Bed for you in the East Village,Manhattan,Apartment,90,Shared room,10009,1,1,10,85,94
3635728,9/21/2012,"Great 2 bedroom, Private Backyard",Manhattan,Apartment,80,Entire home/apt,10009,2,1,64,245,82
20997902,9/6/2014,High rise downtown Manhattan,Manhattan,Apartment,85,Entire home/apt,10006,2,1,5,195,88
19789824,8/10/2014,Cozy Bedroom in Bushwick,Brooklyn,Apartment,,Private room,11237,1,1,0,35,
1549512,12/30/2011,Cozy room in light-filled apartment,Brooklyn,Apartment,,Private room,11238,1,1,0,68,
90656,3/10/2010,Steps from Williamsburg's hotspots!,Brooklyn,Apartment,75,Entire home/apt,11222,3,1,15,125,76
6336930,5/11/2013,Charming Brownstone Apt,Brooklyn,Apartment,95,Entire home/apt,11238,2,1,30,169,95
5674697,3/29/2013,UWS beautiful new one bedroom,Manhattan,Apartment,95,Entire home/apt,10025,2,1,4,375,95
17844719,7/8/2014,Cozy studio in the heart of Astoria,Queens,Apartment,100,Entire home/apt,11103,1,1,2,120,100
374115,2/2/2011,East Village Quiet Light 2 Bed Apt,Manhattan,Apartment,,Entire home/apt,10009,2,1,1,169,
4782900,1/20/2013,Comfy Couch - 30m From Manhattan,Brooklyn,Apartment,95,Shared room,11230,1,1,10,25,98
18266508,7/17/2014,Sofa-bed in my living room,Manhattan,Apartment,95,Shared room,10040,1,1,12,35,95
40975743,8/9/2015,A Cozy Autumn Getaway in the EV,Manhattan,Apartment,,Entire home/apt,10003,1,1,0,175,
438133,3/12/2011,Park Slope Spacious 3 Bedroom Home,Brooklyn,House,100,Entire home/apt,11215,5,1,6,275,100
2844616,7/5/2012,FUNKY SPACE IN BEAUTIFUL MANHATTAN!,Manhattan,Apartment,85,Entire home/apt,10029,1,1,79,99,87
314941,12/10/2010,The Downtown Flat :),Manhattan,Apartment,95,Private room,10002,3,1,16,95,97
16336954,6/3/2014,Sunny Modern Abode with Art Library,Manhattan,Apartment,90,Entire home/apt,10028,1,1,17,160,90
10456866,12/5/2013,Luxury Chelsea Duplex with Private,Manhattan,Condominium,,Entire home/apt,10011,4,1,0,850,
4176137,11/17/2012,Best Apartment in Queens/Close NYC,Queens,Apartment,100,Entire home/apt,11375,1,1,2,125,100
1281637,10/12/2011,"Beautiful Cute Studio, Fort Greene",Brooklyn,Apartment,100,Entire home/apt,11205,1,1,1,140,100
17157001,6/23/2014,Prime SoHo apartment with roofdeck,Manhattan,Apartment,90,Entire home/apt,10012,1,1,6,195,93
54255,11/14/2009,**Private Room Brownstone Beauty!*,Brooklyn,Townhouse,100,Private room,11233,2,1,1,99,100
13863009,4/3/2014,BEAUTIFUL MASTERBEDROOM IN TRIBECA,Manhattan,Apartment,,Private room,10013,1,1,0,185,
3716646,9/30/2012,Large 1Br Apt + Balcony in LES!,Manhattan,Apartment,,Entire home/apt,10002,1,1,0,240,
21090508,9/8/2014,Travelers Bunk Beds in Brooklyn,Brooklyn,Apartment,,Shared room,11206,2,1,0,48,
2844135,7/5/2012,NYC Fashion Stylist's Apartment,Manhattan,Apartment,95,Entire home/apt,10003,1,1,21,224,95
647985,5/31/2011,Large Private Room in Williamsburg,Brooklyn,Apartment,,Private room,11211,1,1,0,85,
16899139,6/17/2014,Sunny loft on quiet block in LES,Manhattan,Apartment,95,Entire home/apt,10002,1,1,10,220,98
42926593,8/30/2015,Beautiful Loft East Williamsburg,Brooklyn,Apartment,,Private room,11206,1,1,0,60,
10321180,11/28/2013,New 2 Bedroom Apartment in NoLiTa,Manhattan,Apartment,100,Entire home/apt,10012,2,1,2,525,100
128669,5/20/2010,Bright & Sunny Zen Studio,Manhattan,Apartment,100,Entire home/apt,10024,1,1,15,142,100
570988,5/9/2011,"LEGAL PARK SLOPE 4 BR, ROOF TERRACE",Brooklyn,House,95,Entire home/apt,11217,10,1,66,600,98
9614926,10/24/2013,2 Bedrooms in 3 bed Brooklyn CONDO,Brooklyn,Apartment,100,Entire home/apt,11207,2,1,1,200,100
9205298,10/3/2013,Artsy Apt Heart Of Hipster Brooklyn,Brooklyn,Apartment,100,Entire home/apt,11216,2,1,1,80,100
194917,8/8/2010,"Family-friendly, ideal location",Brooklyn,Apartment,85,Entire home/apt,11231,1,1,23,180,88
5013547,2/8/2013,Cozy 1-bedroom next to Central Park,Manhattan,Apartment,100,Entire home/apt,10028,2,1,1,125,100
7546816,7/17/2013,Spacious Williamsburg Loft Studio,Brooklyn,Apartment,100,Entire home/apt,11249,1,1,2,150,100
22155470,10/5/2014,Bright room in new apartment,Brooklyn,Apartment,,Private room,11206,1,1,0,54,
20897776,9/3/2014,"Lincoln Center Area, Great place !!",Manhattan,Apartment,,Shared room,10023,1,1,0,189,
9478849,10/17/2013,Cosy 2br 20 min from the city,Brooklyn,Apartment,80,Entire home/apt,,3,1,1,145,80
132132,5/25/2010,SPRING SWEET DREAMS NEW APT BALCONY,Manhattan,Apartment,75,Entire home/apt,10009,1,1,24,199,77
25439443,12/31/2014,"Cozy Room, Spacious & Bright Apt",Manhattan,Apartment,95,Private room,10030,1,1,6,73,97
879277,7/27/2011,"HUGE Master Bedroom - Safe, Quiet",Queens,Apartment,,Private room,11106,1,1,0,79,
1674148,1/30/2012,Minutes to Manhattan- 1bd near park,Queens,Apartment,95,Entire home/apt,11102,1,1,18,125,97
11523254,1/21/2014,Spacious 1BR Chelsea Apt. for SB 48,Manhattan,Apartment,,Entire home/apt,10011,1,1,0,750,
16325691,6/3/2014,Trendy Location: Tillary Sofa-Bed,Manhattan,Apartment,,Shared room,10003,1,1,0,95,
42075916,8/20/2015,Spacious bedroom on the UES,Manhattan,Apartment,,Private room,10128,1,1,0,70,
18264329,7/17/2014,Modern Style Meets Old World,Brooklyn,House,95,Private room,11232,1,1,8,80,98
22823240,10/21/2014,"Lxry 1Br, Heart of NYC",Manhattan,Apartment,,Entire home/apt,10016,1,1,0,250,
13541481,3/25/2014,let's make a deal...,Queens,House,,Shared room,11418,2,1,0,2500,
1230131,9/30/2011,Spacious Clean Home in KipsBay 1BR,Manhattan,Apartment,80,Entire home/apt,10010,2,1,1,240,80
12896667,3/7/2014,Private Chelsea Loft Bedroom,Manhattan,Apartment,,Private room,10011,1,1,0,80,
6956982,6/17/2013,UES 1 Bed E. 82 - Laundry/Elevator,Manhattan,Apartment,,Entire home/apt,10028,1,1,1,167,
33394577,5/14/2015,Cozy & Spacious 1 Bedroom Apartment,Brooklyn,Apartment,100,Entire home/apt,11225,1,1,3,140,100
30487566,4/2/2015,Cozy room with a coach in Brooklyn,Brooklyn,Apartment,,Private room,11229,1,1,0,60,
72808,1/23/2010,Coney Island Private Hall,Brooklyn,Apartment,90,Entire home/apt,11224,1,1,7,450,93
23615030,11/11/2014,2Bedrooms Duplex / West Village,Manhattan,Apartment,80,Entire home/apt,10014,4,1,10,250,84
15792755,5/21/2014,Cozy Room in Lefferts Gardens!,Brooklyn,Apartment,90,Private room,11225,1,1,5,75,92
4330726,12/5/2012,Park Slope Apartment,Brooklyn,Apartment,95,Entire home/apt,11215,1,1,6,145,97
1263507,10/8/2011,Entire Apt in Charming Nolita,Manhattan,Apartment,95,Entire home/apt,10012,2,1,7,240,95
20522077,8/25/2014,"NYC 3 Bedroom Condo, Manhattan",Manhattan,Apartment,80,Entire home/apt,10030,4,1,45,99,80
8096805,8/12/2013,Cozy One-Bedroom with Outdoor Space,Brooklyn,Apartment,85,Entire home/apt,11221,1,1,5,85,88
30669346,4/5/2015,Young's Loft Studio,Manhattan,Apartment,70,Entire home/apt,10001,3,1,2,199,70
107285,4/12/2010,Beautiful Upper West Side Haven,Manhattan,Apartment,100,Entire home/apt,10024,1,1,1,200,100
17081704,6/21/2014,Desirable LES apartment,Manhattan,Apartment,100,Entire home/apt,10002,1,1,1,135,100
422345,3/4/2011,Brownstone in Brooklyn,Brooklyn,Apartment,90,Entire home/apt,11205,1,1,8,169,90
8451806,8/27/2013,Luxury loft in the heart of it all,Manhattan,Apartment,100,Entire home/apt,10012,1,1,12,875,100
12274930,2/16/2014,Comfy Studio in the Lower East Side,Manhattan,Apartment,85,Entire home/apt,10002,2,1,6,148,87
2973068,7/17/2012,Artsy and Energized Apt.,Brooklyn,Apartment,90,Entire home/apt,11222,1,1,31,140,91
4555996,1/2/2013,Budget/diamond in heart of Harlem,Manhattan,Apartment,,Private room,10030,1,1,0,100,
1567575,1/4/2012,Value Room in Downtown Manhattan,Manhattan,Apartment,90,Private room,10001,1,1,9,95,93
21211857,9/11/2014,BEAUTIFUL CHELSEA APARTMENT,Manhattan,Apartment,100,Private room,10011,2,1,1,125,100
15728213,5/19/2014,BROOKLYN'S BEST Room Two,Brooklyn,House,100,Private room,11236,1,1,1,125,100
1502469,12/13/2011,★ Quintessential NYC Loft ★,Manhattan,Apartment,100,Entire home/apt,10003,1,1,2,350,100
6556741,5/24/2013,Spacious room in Brownstone co-op,Brooklyn,House,80,Private room,11238,1,1,15,60,84
7400422,7/10/2013,Fabulous Apartment,Manhattan,Apartment,100,Entire home/apt,10013,1,1,17,260,100
4970027,2/5/2013,7Min From JFK 25min from Manhattan,Queens,Apartment,80,Entire home/apt,11435,3,1,8,65,80
17893360,7/9/2014,Modern 1 BD near Prospect Park,Brooklyn,Apartment,,Entire home/apt,11238,1,1,0,149,
8582938,9/2/2013,Adorable West Village Lofted Studio,Manhattan,Apartment,95,Entire home/apt,10011,1,1,8,150,98
7389223,7/9/2013,2BR Luxury Suite in Prime Location,Manhattan,Apartment,,Entire home/apt,10019,2,1,0,699,
34066823,5/23/2015,Amazing studio heart of Manhattan!,Manhattan,Loft,90,Entire home/apt,10025,1,1,9,80,90
689018,6/11/2011,Fantastic Centrally Located Flat,Manhattan,Apartment,,Entire home/apt,10003,1,1,0,199,
30811,8/10/2009,European Style apartment in NYC,Manhattan,Apartment,80,Entire home/apt,10025,1,1,1,115,80
21382866,9/15/2014,"Brand New Apt, 12 mins to Manhattan",Queens,Apartment,95,Private room,11377,1,1,6,58,96
4113132,11/10/2012,Home Sweet Room-RUBY-Queens NYC!!,Queens,House,90,Private room,11373,1,1,57,45,93
42309351,8/23/2015,Huge Studio! Prime Harlem! Clean!,Manhattan,Apartment,,Entire home/apt,10031,1,1,0,77,
19031,5/27/2009,Charming Greenwich Village Apt,Manhattan,Apartment,80,Entire home/apt,10012,1,1,14,225,81
10227487,11/24/2013,Downtown NYC awesome apt!:),Manhattan,Apartment,90,Private room,10038,1,1,2,125,90
1410520,11/15/2011,Exclusive 2BR Heart of Williamsburg,Brooklyn,Apartment,,Entire home/apt,11211,2,1,0,245,
8052108,8/9/2013,Nice cozy Living ROOM in the bronx,Bronx,Apartment,,Private room,10462,1,1,0,75,
5657752,3/27/2013,"Cozy, Sun-Drenched Room!",Brooklyn,Apartment,,Private room,11215,1,1,0,59,
10456866,12/5/2013,West Village Cozy Cottage,Manhattan,Apartment,100,Entire home/apt,10014,1,1,2,190,100
8073658,8/10/2013,Spacious 1br in 2br apartment (LES),Manhattan,Apartment,,Private room,10002,1,1,0,70,
23418347,11/6/2014,1bdrm Brooklyn Artist Apartment,Brooklyn,Apartment,95,Entire home/apt,11213,1,1,5,90,95
24018734,11/21/2014,Spacious and Artsy Brooklyn Escape,Brooklyn,Apartment,100,Private room,11205,1,1,3,75,100
1750663,2/14/2012,Great UES-Close to Everything!,Manhattan,Apartment,95,Private room,10028,1,1,41,99,96
4111640,11/10/2012,Free Night Private Bedroom LES,Manhattan,Apartment,90,Private room,10002,1,1,13,75,92
31079064,4/12/2015,Room for rent in Brooklyn.,Brooklyn,Apartment,,Private room,11211,1,1,1,125,
35134092,6/6/2015,Large private bedroom in Brooklyn,Brooklyn,Apartment,,Private room,11213,1,1,0,37,
19348216,8/2/2014,2700 sq/ft Amazing Tribeca Loft,Manhattan,Apartment,,Entire home/apt,10007,4,1,0,888,
3494886,9/6/2012,Private bedroom in Manhattan,Manhattan,Apartment,90,Private room,10032,1,1,6,65,93
